sample,WDFW_code,site,Collection Date,day,month,year
PV_001,21MD0001,Eagle Point,44176,11,12,2020
PV_002,21MD0002,Eagle Point,44176,11,12,2020
PV_003,21MD0003,Father and Son ,44188,23,12,2020
PV_004,21MD0004,Father and Son ,44188,23,12,2020
PV_005,21MD0005,Father and Son ,44188,23,12,2020
PV_006,21MD0006,Father and Son ,44188,23,12,2020
PV_007,21MD0007,Father and Son ,44188,23,12,2020
PV_008,21MD0008,Cooke Rock,44188,23,12,2020
PV_009,21MD0009,Cooke Rock,44188,23,12,2020
PV_010,21MD0010,Cooke Rock,44188,23,12,2020
PV_011,21MD0011,Waadah Island ,44215,19,1,2021
PV_012,21MD0012,Waadah Island ,44215,19,1,2021
PV_013,21MD0013,Waadah Island ,44215,19,1,2021
PV_014,21MD0014,Waadah Island ,44215,19,1,2021
PV_015,21MD0015,Waadah Island ,44215,19,1,2021
PV_016,21MD0016,Waadah Island ,44215,19,1,2021
PV_017,21MD0017,Waadah Island ,44215,19,1,2021
PV_018,21MD0018,Waddah Island,44216,20,1,2021
PV_019,21MD0019,Waddah Island,44216,20,1,2021
PV_020,21MD0020,Waddah Island,44216,20,1,2021
PV_021,21MD0021,Waddah Island,44216,20,1,2021
PV_022,21MD0022,Waddah Island,44216,20,1,2021
PV_023,21MD0023,Waddah Island,44216,20,1,2021
PV_024,21MD0025,Waddah Island,44216,20,1,2021
PV_025,21MD0026,Waddah Island,44216,20,1,2021
PV_026,21MD0027,Waddah Island,44218,22,1,2021
PV_027,21MD0028,Wa'atch Point,44224,28,1,2021
PV_028,21MD0029,Wa'atch Point,44224,28,1,2021
PV_029,21MD0030,Wa'atch Point,44235,8,2,2021
PV_030,21MD0031,Wa'atch Point,44235,8,2,2021
PV_031,21MD0032,Wa'atch Point,44235,8,2,2021
PV_032,21MD0033,Wa'atch Point,44235,8,2,2021
PV_033,21MD0034,Wa'atch Point,44235,8,2,2021
PV_034,21MD0035,Wa'atch Point,44251,24,2,2021
PV_035,21MD0036,Wa'atch Point,44251,24,2,2021
PV_036,21MD0037,Wa'atch Point,44251,24,2,2021
PV_037,21MD0038,Wa'atch Point,44251,24,2,2021
PV_038,21MD0039,Wa'atch Point,44251,24,2,2021
PV_039,21MD0040,Wa'atch Point,44251,24,2,2021
PV_040,21MD0041,Wa'atch Point,44251,24,2,2021
PV_041,21MD0042,Wa'atch Point,44251,24,2,2021
PV_042,21MD0043,Waadah Island ,44255,28,2,2021
EJ_001,21MD0044,Tatoosh Cut,44177,12,12,2020
EJ_002,21MD0045,Tatoosh Cut,44177,12,12,2020
EJ_003,21MD0046,Tatoosh Cut,44177,12,12,2020
EJ_004,21MD0047,Tatoosh Cut,44177,12,12,2020
EJ_005,21MD0049,Tatoosh Cut,44177,12,12,2020
EJ_006,21MD0050,Tatoosh Cut,44177,12,12,2020
EJ_007,21MD0051,Tatoosh Cut,44177,12,12,2020
EJ_008,21MD0052,Tatoosh Cut,44177,12,12,2020
EJ_009,21MD0053,Tatoosh Cut,44177,12,12,2020
EJ_010,21MD0054,Tatoosh Cut,44177,12,12,2020
EJ_011,21MD0055,Tatoosh Cut,44177,12,12,2020
EJ_012,21MD0056,Tatoosh Cut,44177,12,12,2020
EJ_013,21MD0057,Tatoosh Cut,44177,12,12,2020
EJ_014,21MD0058,Tatoosh Cut,44177,12,12,2020
EJ_015,21MD0059,Tatoosh Cut,44177,12,12,2020
EJ_016,21MD0060,Tatoosh Cut,44177,12,12,2020
EJ_017,21MD0061,Tatoosh Cut,44177,12,12,2020
EJ_018,21MD0062,Tatoosh Cut,44177,12,12,2020
EJ_019,21MD0063,Tatoosh Cut,44177,12,12,2020
EJ_020,21MD0064,Tatoosh Cut,44177,12,12,2020
EJ_021,21MD0065,Tatoosh Cut,44177,12,12,2020
EJ_022,21MD0066,Tatoosh Cut,44177,12,12,2020
EJ_023,21MD0067,Tatoosh Cut,44177,12,12,2020
EJ_024,21MD0068,Tatoosh Cut,44177,12,12,2020
EJ_025,21MD0069,Tatoosh Cut,44177,12,12,2020
EJ_026,21MD0070,Tatoosh Cut,44177,12,12,2020
EJ_027,21MD0071,Tatoosh Cut,44177,12,12,2020
EJ_028,21MD0073,Tatoosh Cut,44177,12,12,2020
EJ_029,21MD0074,Tatoosh Cut,44177,12,12,2020
EJ_030,21MD0075,Tatoosh Cut,44177,12,12,2020
EJ_031,21MD0076,Tatoosh Cut,44215,19,1,2021
EJ_032,21MD0077,Tatoosh Cut,44215,19,1,2021
EJ_033,21MD0078,Tatoosh Cut,44215,19,1,2021
EJ_034,21MD0079,Tatoosh Cut,44215,19,1,2021
EJ_035,21MD0080,Tatoosh Cut,44215,19,1,2021
EJ_036,21MD0081,Tatoosh Cut,44215,19,1,2021
EJ_037,21MD0082,Tatoosh Cut,44215,19,1,2021
EJ_038,21MD0083,Tatoosh Cut,44215,19,1,2021
EJ_039,21MD0084,Tatoosh Cut,44215,19,1,2021
EJ_040,21MD0085,Tatoosh Cut,44215,19,1,2021
EJ_041,21MD0086,Tatoosh Cut,44215,19,1,2021
EJ_042,21MD0087,Tatoosh Cut,44215,19,1,2021
EJ_043,21MD0088,Tatoosh Cut,44215,19,1,2021
EJ_044,21MD0089,Tatoosh Cut,44215,19,1,2021
EJ_045,21MD0090,Tatoosh Cut,44215,19,1,2021
EJ_046,21MD0091,Tatoosh Cut,44215,19,1,2021
EJ_047,21MD0092,Tatoosh Cut,44215,19,1,2021
EJ_048,21MD0093,Tatoosh Cut,44215,19,1,2021
EJ_049,21MD0094,Tatoosh Cut,44215,19,1,2021
EJ_050,21MD0095,Tatoosh Cut,44215,19,1,2021
EJ_051,21MD0096,Tatoosh Cut,44215,19,1,2021
EJ_052,21MD0097,Tatoosh Cut,44215,19,1,2021
EJ_053,21MD0098,Tatoosh Cut,44215,19,1,2021
EJ_054,21MD0099,Tatoosh Cut,44215,19,1,2021
EJ_056,21MD0101,Tatoosh Cut,44216,20,1,2021
EJ_057,21MD0102,Tatoosh Cut,44216,20,1,2021
EJ_058,21MD0103,Tatoosh Cut,44216,20,1,2021
EJ_059,21MD0104,Tatoosh Cut,44216,20,1,2021
EJ_060,21MD0105,Tatoosh Cut,44216,20,1,2021
EJ_061,21MD0106,Tatoosh Cut,44216,20,1,2021
EJ_062,21MD0107,Tatoosh Cut,44230,3,2,2021
EJ_063,21MD0108,Tatoosh Cut,44230,3,2,2021
EJ_064,21MD0109,Tatoosh Cut,44230,3,2,2021
EJ_065,21MD0110,Tatoosh Cut,44230,3,2,2021
EJ_066,21MD0111,Tatoosh Cut,44230,3,2,2021
EJ_067,21MD0112,Tatoosh Cut,44230,3,2,2021
EJ_068,21MD0113,Tatoosh Cut,44230,3,2,2021
EJ_069,21MD0114,Tatoosh Cut,44230,3,2,2021
EJ_070,21MD0115,Tatoosh Cut,44230,3,2,2021
EJ_071,21MD0116,Tatoosh Cut,44230,3,2,2021
EJ_072,21MD0117,Tatoosh Cut,44230,3,2,2021
EJ_073,21MD0118,Tatoosh Cut,44230,3,2,2021
EJ_074,21MD0119,Tatoosh Cut,44230,3,2,2021
EJ_076,21MD0120,Tatoosh Cut,44230,3,2,2021
EJ_077,21MD0121,Tatoosh Cut,44230,3,2,2021
EJ_078,21MD0122,Tatoosh Cut,44255,28,2,2021
EJ_079,21MD0123,Tatoosh Cut,44255,28,2,2021
EJ_080,21MD0125,Tatoosh Cut,44255,28,2,2021
EJ_081,21MD0126,Tatoosh Cut,44255,28,2,2021
EJ_082,21MD0127,Tatoosh Cut,44255,28,2,2021
EJ_083,21MD0128,Tatoosh Cut,44255,28,2,2021
EJ_084,21MD0129,Tatoosh Cut,44255,28,2,2021
EJ_085,21MD0130,Tatoosh Cut,44255,28,2,2021
EJ_086,21MD0131,Tatoosh Cut,44255,28,2,2021
EJ_087,21MD0132,Tatoosh Cut,44255,28,2,2021
EJ_088,21MD0133,Tatoosh Cut,44255,28,2,2021
EJ_089,21MD0134,Tatoosh Cut,44255,28,2,2021
EJ_090,21MD0135,Tatoosh Cut,44255,28,2,2021
EJ_091,21MD0136,Tatoosh Cut,44255,28,2,2021
EJ_092,21MD0137,Tatoosh Cut,44255,28,2,2021
EJ_093,21MD0138,Tatoosh Cut,44255,28,2,2021
EJ_094,21MD0139,Tatoosh Cut,44255,28,2,2021
EJ_095,21MD0140,Tatoosh Cut,44255,28,2,2021
EJ_096,21MD0141,Tatoosh Cut,44255,28,2,2021
EJ_097,21MD0142,Tatoosh Cut,44265,10,3,2021
EJ_098,21MD0143,Tatoosh Cut,44265,10,3,2021
EJ_099,21MD0144,Tatoosh Cut,44265,10,3,2021
EJ_100,21MD0145,Tatoosh Cut,44265,10,3,2021
EJ_101,21MD0146,Tatoosh Cut,44265,10,3,2021
EJ_102,21MD0147,Tatoosh Cut,44265,10,3,2021
EJ_103,21MD0149,Tatoosh Cut,44265,10,3,2021
EJ_104,21MD0150,Tatoosh Cut,44265,10,3,2021
EJ_105,21MD0151,Tatoosh Cut,44265,10,3,2021
EJ_106,21MD0152,Tatoosh Cut,44265,10,3,2021
EJ_107,21MD0153,Tatoosh Cut,44265,10,3,2021
EJ_108,21MD0154,Tatoosh Cut,44265,10,3,2021
EJ_109,21MD0155,Tatoosh Cut,44265,10,3,2021
EJ_110,21MD0156,Tatoosh Cut,44265,10,3,2021
EJ_111,21MD0157,Tatoosh Cut,44265,10,3,2021
EJ_112,21MD0158,Tatoosh Cut,44265,10,3,2021
EJ_113,21MD0159,Tatoosh Cut,44265,10,3,2021
EJ_114,21MD0160,Tatoosh Cut,44265,10,3,2021
EJ_115,21MD0161,Tatoosh Cut,44265,10,3,2021
EJ_116,21MD0162,Tatoosh Cut,44265,10,3,2021
EJ_117,21MD0163,Tatoosh Cut,44265,10,3,2021
EJ_118,21MD0164,Tatoosh Cut,44265,10,3,2021
EJ_119,21MD0165,Tatoosh Cut,44265,10,3,2021
EJ_120,21MD0166,Tatoosh Cut,44265,10,3,2021
EJ_121,21MD0167,Tatoosh Cut,44265,10,3,2021
EJ_122,21MD0168,Tatoosh Cut,44265,10,3,2021
EJ_123,21MD0169,Tatoosh Cut,44265,10,3,2021
EJ_124,21MD0170,Tatoosh Cut,44265,10,3,2021
EJ_125,21MD0171,Tatoosh Cut,44265,10,3,2021
EJ_126,21MD0173,Tatoosh Cut,44265,10,3,2021
EJ_127,21MD0174,Tatoosh Cut,44299,13,4,2021
EJ_128,21MD0175,Tatoosh Cut,44299,13,4,2021
EJ_129,21MD0176,Tatoosh Cut,44299,13,4,2021
EJ_130,21MD0177,Tatoosh Cut,44299,13,4,2021
EJ_131,21MD0178,Tatoosh Cut,44299,13,4,2021
EJ_132,21MD0179,Tatoosh Cut,44299,13,4,2021
EJ_133,21MD0180,Tatoosh Cut,44299,13,4,2021
EJ_134,21MD0181,Tatoosh Cut,44299,13,4,2021
EJ_135,21MD0182,Tatoosh Cut,44299,13,4,2021
EJ_136,21MD0183,Tatoosh Cut,44299,13,4,2021
EJ_137,21MD0184,Tatoosh Cut,44299,13,4,2021
EJ_138,21MD0185,Tatoosh Cut,44299,13,4,2021
EJ_139,21MD0186,Tatoosh Cut,44299,13,4,2021
EJ_140,21MD0187,Tatoosh Cut,44299,13,4,2021
EJ_141,21MD0188,Tatoosh Cut,44299,13,4,2021
EJ_142,21MD0189,Tatoosh Cut,44299,13,4,2021
EJ_143,21MD0190,Tatoosh Cut,44299,13,4,2021
EJ_144,21MD0191,Tatoosh Cut,44299,13,4,2021
EJ_145,21MD0192,Tatoosh Cut,44299,13,4,2021
EJ_146,21MD0193,Tatoosh Cut,44299,13,4,2021
EJ_147,21MD0194,Tatoosh Cut,44299,13,4,2021
EJ_148,21MD0195,Tatoosh Cut,44299,13,4,2021
PV_043,21MD0197,Tatoosh Pv Haulout,44265,10,3,2021
PV_044,21MD0198,Tatoosh Pv Haulout,44265,10,3,2021
PV_045,21MD0199,Tatoosh Pv Haulout,44265,10,3,2021
PV_046,21MD0200,Tatoosh Pv Haulout,44265,10,3,2021
PV_047,21MD0201,Tatoosh Pv Haulout,44265,10,3,2021
PV_048,21MD0202,Waadah Island ,44271,16,3,2021
PV_049,21MD0203,Waadah Island ,44271,16,3,2021
PV_050,21MD0204,Waadah Island ,44271,16,3,2021
PV_051,21MD0205,Waadah Island ,44271,16,3,2021
PV_052,21MD0206,Waadah Island ,44271,16,3,2021
PV_053,21MD0207,Waadah Island ,44271,16,3,2021
PV_054,21MD0208,Waadah Island ,44271,16,3,2021
PV_055,21MD0209,Waadah Island ,44271,16,3,2021
PV_056,21MD0210,Waadah Island ,44285,30,3,2021
PV_057,21MD0211,Waadah Island ,44285,30,3,2021
PV_058,21MD0212,Waadah Island ,44285,30,3,2021
PV_059,21MD0213,Waadah Island ,44285,30,3,2021
MIX_001,21MD0214,Tatoosh Main Island,44177,12,12,2020
MIX_002,21MD0215,Tatoosh Main Island,44177,12,12,2020
MIX_003,21MD0216,Tatoosh Main Island,44177,12,12,2020
MIX_004,21MD0217,Tatoosh Main Island,44177,12,12,2020
MIX_005,21MD0218,Tatoosh Main Island,44177,12,12,2020
MIX_006,21MD0219,Tatoosh Main Island,44177,12,12,2020
EJ_149,21MD0221,Tatoosh Cut,44299,13,4,2021
EJ_150,21MD0222,Tatoosh Cut,44299,13,4,2021
EJ_151,21MD0223,Tatoosh Cut,44299,13,4,2021
EJ_152,21MD0224,Tatoosh Cut,44299,13,4,2021
EJ_153,21MD0225,Tatoosh Cut,44299,13,4,2021
EJ_154,21MD0226,Tatoosh Cut,44299,13,4,2021
EJ_155,21MD0227,Tatoosh Cut,44299,13,4,2021
EJ_156,21MD0228,Tatoosh Cut,44299,13,4,2021
EJ_157,21MD0229,Sea Lion Rock,44327,11,5,2021
EJ_158,21MD0230,Sea Lion Rock,44327,11,5,2021
EJ_159,21MD0231,Sea Lion Rock,44327,11,5,2021
EJ_160,21MD0232,Sea Lion Rock,44327,11,5,2021
EJ_161,21MD0233,Sea Lion Rock,44327,11,5,2021
EJ_162,21MD0234,Sea Lion Rock,44327,11,5,2021
EJ_163,21MD0235,Sea Lion Rock,44327,11,5,2021
EJ_164,21MD0236,Sea Lion Rock,44327,11,5,2021
EJ_166,21MD0237,Sea Lion Rock,44327,11,5,2021
EJ_167,21MD0238,Sea Lion Rock,44327,11,5,2021
EJ_168,21MD0239,Sea Lion Rock,44327,11,5,2021
EJ_169,21MD0240,Sea Lion Rock,44327,11,5,2021
EJ_170,21MD0241,Sea Lion Rock,44327,11,5,2021
EJ_171,21MD0242,Sea Lion Rock,44327,11,5,2021
EJ_172,21MD0243,Sea Lion Rock,44327,11,5,2021
EJ_173,21MD0245,Sea Lion Rock,44327,11,5,2021
EJ_174,21MD0246,Sea Lion Rock,44327,11,5,2021
EJ_175,21MD0247,Sea Lion Rock,44327,11,5,2021
EJ_176,21MD0248,Sea Lion Rock,44327,11,5,2021
EJ_177,21MD0249,Sea Lion Rock,44327,11,5,2021
EJ_178,21MD0250,Sea Lion Rock,44327,11,5,2021
EJ_179,21MD0251,Sea Lion Rock,44327,11,5,2021
EJ_180,21MD0252,Sea Lion Rock,44327,11,5,2021
EJ_181,21MD0253,Sea Lion Rock,44327,11,5,2021
EJ_182,21MD0254,Sea Lion Rock,44327,11,5,2021
EJ_183,21MD0255,Sea Lion Rock,44327,11,5,2021
EJ_184,21MD0256,Sea Lion Rock,44327,11,5,2021
EJ_185,21MD0257,Sea Lion Rock,44327,11,5,2021
EJ_186,21MD0258,Sea Lion Rock,44327,11,5,2021
EJ_187,21MD0259,Tatoosh Cut,44356,9,6,2021
EJ_188,21MD0260,Tatoosh Cut,44356,9,6,2021
EJ_189,21MD0261,Tatoosh Cut,44356,9,6,2021
EJ_190,21MD0262,Tatoosh Cut,44356,9,6,2021
EJ_191,21MD0263,Tatoosh Cut,44356,9,6,2021
EJ_192,21MD0264,Tatoosh Cut,44356,9,6,2021
EJ_193,21MD0265,Tatoosh Cut,44356,9,6,2021
EJ_194,21MD0266,Tatoosh Cut,44356,9,6,2021
EJ_195,21MD0267,Tatoosh Cut,44356,9,6,2021
EJ_196,21MD0269,Tatoosh Cut,44356,9,6,2021
EJ_197,21MD0270,Tatoosh Cut,44364,17,6,2021
EJ_198,21MD0271,Tatoosh Cut,44364,17,6,2021
EJ_199,21MD0272,Tatoosh Cut,44364,17,6,2021
EJ_200,21MD0273,Tatoosh Cut,44364,17,6,2021
EJ_201,21MD0274,Tatoosh Cut,44364,17,6,2021
EJ_202,21MD0275,Tatoosh Cut,44364,17,6,2021
EJ_203,21MD0276,Tatoosh Cut,44364,17,6,2021
EJ_204,21MD0277,Tatoosh Cut,44364,17,6,2021
EJ_205,21MD0278,Tatoosh Cut,44364,17,6,2021
EJ_206,21MD0279,Tatoosh Cut,44364,17,6,2021
EJ_207,21MD0280,Tatoosh Cut,44364,17,6,2021
EJ_208,21MD0281,Tatoosh Cut,44364,17,6,2021
EJ_209,21MD0282,Tatoosh Cut,44364,17,6,2021
EJ_210,21MD0283,Tatoosh Cut,44364,17,6,2021
EJ_211,21MD0284,Tatoosh Cut,44364,17,6,2021
EJ_212,21MD0285,Tatoosh Cut,44364,17,6,2021
EJ_213,21MD0286,Tatoosh Cut,44364,17,6,2021
EJ_214,21MD0287,Tatoosh Cut,44364,17,6,2021
EJ_215,21MD0288,Tatoosh Cut,44364,17,6,2021
EJ_216,21MD0289,Tatoosh Cut,44364,17,6,2021
EJ_217,21MD0290,Tatoosh Cut,44385,8,7,2021
EJ_218,21MD0291,Tatoosh Cut,44385,8,7,2021
EJ_219,21MD0293,Tatoosh Cut,44385,8,7,2021
EJ_220,21MD0294,Tatoosh Cut,44385,8,7,2021
EJ_221,21MD0295,Tatoosh Cut,44385,8,7,2021
EJ_222,21MD0296,Tatoosh Cut,44385,8,7,2021
EJ_223,21MD0297,Tatoosh Cut,44385,8,7,2021
EJ_224,21MD0298,Tatoosh Cut,44385,8,7,2021
EJ_225,21MD0299,Tatoosh Cut,44385,8,7,2021
EJ_226,21MD0300,Tatoosh Cut,44385,8,7,2021
EJ_227,21MD0301,Tatoosh Cut,44385,8,7,2021
EJ_228,21MD0302,Tatoosh Cut,44385,8,7,2021
EJ_229,21MD0303,Tatoosh Cut,44385,8,7,2021
EJ_230,21MD0304,Tatoosh Cut,44385,8,7,2021
EJ_231,21MD0305,Tatoosh Cut,44385,8,7,2021
EJ_232,21MD0306,Tatoosh Cut,44385,8,7,2021
MIX_007,21MD0307,Tatoosh Main Island,44177,12,12,2020
MIX_008,21MD0308,Tatoosh Main Island,44177,12,12,2020
MIX_009,21MD0309,Tatoosh Main Island,44177,12,12,2020
MIX_010,21MD0310,Tatoosh Main Island,44177,12,12,2020
MIX_011,21MD0311,Tatoosh Main Island,44177,12,12,2020
MIX_012,21MD0312,Tatoosh Main Island,44177,12,12,2020
MIX_013,21MD0313,Tatoosh Main Island,44177,12,12,2020
MIX_014,21MD0314,Tatoosh Main Island,44177,12,12,2020
MIX_015,21MD0315,Tatoosh Main Island,44177,12,12,2020
MIX_016,21MD0316,Tatoosh Main Island,44177,12,12,2020
MIX_017,21MD0317,Tatoosh Main Island,44177,12,12,2020
EJ_75_A,21MD0319,Tatoosh Cut,44230,3,2,2021
EJ_75_B,21MD0320,Tatoosh Cut,44230,3,2,2021
EJ_75_C,21MD0321,Tatoosh Cut,44230,3,2,2021
EJ_165,21MD0322,Sea Lion Rock,44327,11,5,2021
EJ_233,21MD0323,Tatoosh Cut,44391,14,7,2021
EJ_234,21MD0324,Tatoosh Cut,44391,14,7,2021
EJ_235,21MD0325,Tatoosh Cut,44391,14,7,2021
EJ_236,21MD0326,Tatoosh Cut,44391,14,7,2021
EJ_237,21MD0327,Tatoosh Cut,44391,14,7,2021
EJ_238,21MD0328,Tatoosh Cut,44391,14,7,2021
EJ_239,21MD0329,Tatoosh Cut,44391,14,7,2021
EJ_240,21MD0330,Tatoosh Cut,44391,14,7,2021
EJ_241,21MD0331,Tatoosh Cut,44391,14,7,2021
EJ_242,21MD0332,Tatoosh Cut,44391,14,7,2021
EJ_243,21MD0333,Tatoosh Cut,44391,14,7,2021
EJ_244,21MD0334,Tatoosh Cut,44391,14,7,2021
EJ_245,21MD0335,Tatoosh Cut,44391,14,7,2021
EJ_246,21MD0336,Tatoosh Cut,44391,14,7,2021
EJ_247,21MD0337,Tatoosh Cut,44391,14,7,2021
EJ_248,21MD0338,Sea Lion Rock,44424,16,8,2021
EJ_249,21MD0339,Sea Lion Rock,44424,16,8,2021
EJ_250,21MD0340,Sea Lion Rock,44424,16,8,2021
EJ_251,21MD0341,Sea Lion Rock,44424,16,8,2021
EJ_252,21MD0342,Sea Lion Rock,44424,16,8,2021
EJ_253,21MD0343,Sea Lion Rock,44424,16,8,2021
EJ_254,21MD0345,Sea Lion Rock,44424,16,8,2021
EJ_255,21MD0346,Sea Lion Rock,44424,16,8,2021
EJ_256,21MD0347,Sea Lion Rock,44424,16,8,2021
EJ_257,21MD0348,Sea Lion Rock,44424,16,8,2021
EJ_258,21MD0349,Sea Lion Rock,44424,16,8,2021
EJ_259,21MD0350,Sea Lion Rock,44424,16,8,2021
EJ_260,21MD0351,Sea Lion Rock,44424,16,8,2021
EJ_261,21MD0352,Sea Lion Rock,44424,16,8,2021
EJ_262,21MD0353,Sea Lion Rock,44424,16,8,2021
EJ_263,21MD0354,Sea Lion Rock,44424,16,8,2021
EJ_264,21MD0355,Sea Lion Rock,44424,16,8,2021
EJ_265,21MD0356,Sea Lion Rock,44424,16,8,2021
EJ_266,21MD0357,Sea Lion Rock,44424,16,8,2021
EJ_267,21MD0358,Sea Lion Rock,44424,16,8,2021
EJ_268,21MD0359,Sea Lion Rock,44424,16,8,2021
EJ_269,21MD0360,Sea Lion Rock,44424,16,8,2021
EJ_270,21MD0361,Sea Lion Rock,44424,16,8,2021
EJ_271,21MD0362,Sea Lion Rock,44424,16,8,2021
EJ_272,21MD0363,Sea Lion Rock,44424,16,8,2021
EJ_273,21MD0364,Sea Lion Rock,44424,16,8,2021
EJ_274,21MD0365,Sea Lion Rock,44424,16,8,2021
EJ_275,21MD0366,Sea Lion Rock,44424,16,8,2021
EJ_276,21MD0367,Sea Lion Rock,44424,16,8,2021
